FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,FL,610,U6,00,000,0029350,610U600US12001,12001,3,5,12,00294478,001,5035906108,1767421857,1,State Senate District 1,N,537834,233006,+30.6003951,-087.1057012,LU,12001,537834,491976,375476,83627,3868,15346,927,12732,45858,42539,6790,11195,6497,497,14619,649,616,86,924,37,11,120,295,174,29,3020,650,439,55,405,325,48,472,271,194,32,36,5,20,24,19,8,3,11,1,2,263,62,3,95,22,17,7,19,4,12,17,2,3,0,0,0,30,8,21,0,1,0,0,6,6,537834,36611,501223,469187,364928,82316,3237,15013,868,2825,32036,29985,6343,10641,6180,453,4272,608,573,84,430,30,6,14,274,70,7,1909,553,403,47,145,289,48,44,241,45,9,32,5,10,23,11,0,3,0,0,1,130,48,1,25,16,5,2,19,0,6,4,2,2,0,0,0,11,7,4,0,0,0,0,1,1,425012,395571,307262,62062,3204,12890,692,9461,29441,27705,2562,8715,3599,292,10571,492,376,43,580,28,9,84,226,107,21,1551,361,136,14,176,165,26,334,163,78,27,17,4,14,16,5,0,3,9,1,2,156,26,1,61,4,12,6,16,4,8,13,2,3,0,0,0,25,8,16,0,1,0,0,4,4,425012,25530,399482,379153,299879,61246,2751,12653,660,1964,20329,19274,2422,8420,3479,273,3220,457,360,42,294,24,4,6,216,51,6,971,320,128,13,71,145,26,41,150,19,9,13,4,7,16,5,0,3,0,0,1,76,20,0,19,4,5,1,16,0,3,4,2,2,0,0,0,7,7,0,0,0,0,0,1,1,233006,208540,24466,25687,12807,8802,187,3754,64,12880,4134,6495,2251
PLST,FL,610,U6,00,000,0029351,610U600US12002,12002,3,5,12,00294478,002,11483666767,3806386892,2,State Senate District 2,N,526550,287953,+30.5452770,-085.8742266,LU,12002,526550,480867,395917,53911,3149,11005,704,16181,45683,42470,6391,10885,5509,458,16629,492,485,69,860,52,22,197,254,154,13,2835,619,376,45,323,245,24,651,208,143,33,29,8,44,24,31,8,10,1,1,12,336,39,5,171,19,34,8,13,17,2,13,7,1,1,4,2,35,21,9,2,3,0,0,7,7,526550,42510,484040,454520,385694,52750,2420,10729,643,2284,29520,27839,5965,10386,5209,436,4103,450,459,49,379,49,17,31,226,78,2,1529,516,337,36,64,216,24,35,176,23,12,26,8,10,15,10,8,10,1,0,2,131,28,1,37,14,8,5,13,1,0,10,6,1,1,4,2,15,12,2,1,0,0,0,6,6,416439,387377,321877,41752,2555,9245,505,11443,29062,27450,2262,8394,3031,244,11786,365,299,36,538,34,21,146,196,91,7,1411,338,102,14,145,101,6,426,99,66,15,20,0,29,10,15,7,7,0,1,10,165,22,1,88,3,17,7,7,9,1,0,6,1,1,0,2,30,17,9,2,2,0,0,6,6,416439,28637,387802,369268,315098,41077,2022,9076,463,1532,18534,17736,2124,8107,2927,235,3152,340,293,26,234,33,17,28,173,47,0,729,297,97,5,38,93,6,27,88,19,6,20,0,5,4,10,7,7,0,0,0,53,12,0,17,1,0,5,7,1,0,0,6,1,1,0,2,11,8,2,1,0,0,0,5,5,287953,206635,81318,19851,18120,14482,204,3118,316,1731,160,962,609
PLST,FL,610,U6,00,000,0029352,610U600US12003,12003,3,5,12,00294478,003,18504938126,5323131989,3,State Senate District 3,N,486331,223696,+30.1685917,-084.3155170,LU,12003,486331,454969,286950,142328,1773,11440,218,12260,31362,29393,5017,6116,2630,169,13019,654,260,54,1049,46,22,115,90,96,56,1598,464,159,11,273,162,30,215,90,104,6,6,1,24,14,22,3,3,5,0,6,292,31,13,141,15,35,2,10,6,1,12,4,13,3,5,1,60,14,23,9,4,2,8,19,19,486331,35858,450473,432176,276891,140646,1342,11307,184,1806,18297,17214,4762,5856,2512,144,2314,616,236,52,499,38,21,13,78,56,17,924,365,137,11,71,132,23,27,87,28,3,6,1,7,6,9,2,3,0,0,6,117,21,11,17,13,16,1,9,2,0,6,4,11,3,3,0,34,14,11,0,0,2,7,8,8,393122,371119,241083,110243,1461,9150,177,9005,22003,20783,2387,4846,1679,98,10003,493,167,32,744,39,18,91,75,72,39,979,308,87,7,171,69,17,136,52,78,2,5,1,20,4,8,2,3,5,0,4,180,25,6,87,8,16,2,9,3,0,4,0,11,3,5,1,44,7,18,5,4,2,8,17,17,393122,26888,366234,353877,233223,109058,1148,9048,153,1247,12357,11675,2246,4679,1624,91,1827,462,149,32,386,31,18,8,70,36,16,567,248,73,7,46,57,15,19,50,21,2,5,1,7,0,7,2,3,0,0,4,80,15,6,11,8,8,1,9,1,0,4,0,11,3,3,0,27,7,11,0,0,2,7,8,8,223696,193175,30521,34465,21862,18892,205,2652,113,12603,10230,0,2373
PLST,FL,610,U6,00,000,0029353,610U600US12004,12004,3,5,12,00294478,004,3096419475,540436544,4,State Senate District 4,N,559117,244386,+30.4794531,-081.7092373,LU,12004,559117,506963,385143,68854,1900,30352,654,20060,52154,48957,6159,7058,6231,343,25246,566,698,113,1709,66,13,188,296,211,60,2759,686,337,46,577,199,15,334,151,242,11,14,1,51,32,43,6,6,1,0,7,404,60,10,220,9,30,6,15,31,0,3,4,3,0,13,0,33,12,19,0,0,1,1,1,1,559117,57443,501674,474334,372169,66773,1239,29913,581,3659,27340,25751,5587,6667,5947,324,4994,463,665,107,550,51,6,17,263,105,5,1457,523,284,35,142,175,6,23,143,58,3,14,1,4,22,15,3,2,0,0,4,121,38,2,33,6,10,0,8,6,0,3,4,0,0,11,0,11,7,4,0,0,0,0,0,0,447524,411907,318501,52169,1505,24468,507,14757,35617,33779,2905,5532,3473,216,18896,406,385,70,1273,39,4,141,266,129,44,1539,451,129,13,329,88,11,219,64,111,7,14,1,42,13,27,6,6,1,0,7,280,38,8,161,5,15,5,11,16,0,3,4,3,0,11,0,18,4,13,0,0,0,1,1,1,447524,41418,406106,388342,309342,50862,1010,24186,448,2494,17764,16881,2667,5302,3352,208,3765,346,372,67,443,32,3,13,240,68,3,783,348,115,10,79,82,6,16,63,23,3,14,1,4,3,7,3,2,0,0,4,92,27,2,23,4,8,0,6,6,0,3,4,0,0,9,0,8,4,4,0,0,0,0,0,0,244386,225499,18887,11277,3406,798,16,2592,0,7871,3448,3690,733
PLST,FL,610,U6,00,000,0029354,610U600US12005,12005,3,5,12,00294478,005,15662740738,2296601411,5,State Senate District 5,N,507916,208989,+29.8042623,-082.7206557,LU,12005,507916,469179,378713,63686,2171,8834,519,15256,38737,36277,5404,8505,2977,298,16791,373,288,52,1104,39,14,117,142,110,63,2082,470,205,40,406,114,17,312,131,174,34,5,19,43,31,40,15,12,6,1,7,327,34,24,143,12,37,5,17,20,5,7,4,8,1,9,1,36,13,7,12,1,0,3,15,15,507916,45175,462741,440569,365657,62148,1615,8611,455,2083,22172,20989,5000,8123,2811,265,3553,317,264,50,367,31,3,16,133,47,9,1058,355,175,32,83,90,12,42,116,47,7,1,11,11,30,29,4,10,1,0,2,104,26,11,16,4,13,0,13,9,5,0,0,2,0,4,1,17,7,4,4,1,0,1,4,4,397263,372231,303696,48338,1753,7145,379,10920,25032,23774,1825,6526,1593,170,12118,296,161,28,714,26,14,82,112,69,40,1037,250,59,11,175,63,9,191,66,73,12,3,8,36,21,29,12,10,2,1,6,181,14,11,102,9,17,0,5,8,3,1,0,3,1,6,1,34,13,5,12,1,0,3,6,6,397263,30992,366271,352438,294925,47498,1342,7017,330,1326,13833,13232,1719,6314,1536,152,2671,258,146,28,228,20,3,15,104,32,6,531,198,47,11,38,47,7,27,57,27,4,0,4,11,20,19,3,8,1,0,2,52,13,5,11,1,4,0,2,7,3,0,0,2,0,3,1,17,7,4,4,1,0,1,1,1,208989,185813,23176,25587,24685,20564,84,3651,386,902,0,0,902
PLST,FL,610,U6,00,000,0029355,610U600US12006,12006,3,5,12,00294478,006,558900343,63178585,6,State Senate District 6,N,526802,232275,+30.3266056,-081.6976271,LU,12006,526802,483735,206686,228518,2112,20005,486,25928,43067,39848,7680,4588,3340,179,18162,1324,751,185,2831,57,10,231,239,214,57,2784,882,323,31,612,130,15,357,131,114,13,26,0,44,50,34,10,2,0,0,10,383,68,6,192,13,46,3,21,18,0,3,5,0,0,8,0,52,15,36,1,0,0,0,0,0,526802,59695,467107,444996,195687,224516,1289,19602,431,3471,22111,20328,7104,4259,3120,161,2240,1236,687,170,973,53,10,13,214,79,9,1627,730,287,24,167,116,9,39,114,24,3,26,0,12,45,20,2,2,0,0,7,132,47,3,32,10,13,1,11,4,0,3,5,0,0,3,0,24,5,19,0,0,0,0,0,0,406265,377259,174031,166796,1673,15847,409,18503,29006,27123,3454,3772,2071,115,13806,955,385,103,1883,31,8,172,190,128,50,1605,520,124,8,348,70,8,260,84,48,13,13,0,38,30,21,9,2,0,0,9,244,36,5,134,8,23,3,8,11,0,3,5,0,0,8,0,34,7,26,1,0,0,0,0,0,406265,42203,364062,350014,166239,164483,1066,15574,363,2289,14048,13001,3241,3576,1988,107,1762,903,363,92,690,28,8,11,167,57,8,940,452,113,7,96,67,5,29,78,16,3,13,0,12,25,14,2,2,0,0,6,88,28,3,26,6,7,1,4,2,0,3,5,0,0,3,0,19,2,17,0,0,0,0,0,0,232275,210179,22096,12356,6986,2992,101,3893,0,5370,2747,0,2623
PLST,FL,610,U6,00,000,0029356,610U600US12007,12007,3,5,12,00294478,007,4013007687,1203356609,7,State Senate District 7,N,593060,283356,+29.5756365,-081.3318943,LU,12007,593060,543126,452634,55974,1820,16731,327,15640,49934,47146,5815,7240,4472,282,26748,446,285,37,1238,50,5,197,132,152,47,2432,544,211,22,514,137,16,515,145,186,18,12,3,60,10,21,5,0,1,7,5,329,64,3,167,14,26,5,17,16,2,6,4,4,0,1,0,25,5,10,4,6,0,0,2,2,593060,54978,538082,513527,438103,54400,1308,16486,299,2931,24555,23296,5341,6844,4278,273,5147,399,261,36,436,43,4,36,84,102,12,1144,415,194,13,118,127,9,49,139,44,0,7,3,6,7,3,5,0,0,0,5,105,51,2,19,14,7,1,4,2,1,0,3,0,0,1,0,9,5,1,0,3,0,0,1,1,479366,446171,377740,42390,1479,12830,231,11501,33195,31685,2430,5667,2170,192,19405,350,165,22,831,37,5,157,120,103,31,1302,316,98,10,242,64,6,319,75,88,12,3,3,40,1,7,5,0,1,7,5,188,31,3,107,6,17,3,4,8,1,4,4,0,0,0,0,18,0,9,4,5,0,0,2,2,479366,38324,441042,425528,367963,41493,1099,12687,207,2079,15514,14845,2280,5443,2108,186,3806,313,151,22,316,32,4,28,77,72,7,606,239,88,1,58,59,4,38,73,22,0,3,3,6,1,1,5,0,0,0,5,58,26,2,15,6,4,0,2,0,0,0,3,0,0,0,0,4,0,1,0,3,0,0,1,1,283356,242528,40828,15219,8170,3424,327,4396,23,7049,5091,0,1958
PLST,FL,610,U6,00,000,0029357,610U600US12008,12008,3,5,12,00294478,008,6450875492,587129064,8,State Senate District 8,N,516171,234529,+29.5371269,-082.0759736,LU,12008,516171,467849,334696,88755,1925,21889,203,20381,48322,45404,5949,6603,3764,206,26097,512,272,60,1460,27,13,139,76,183,43,2552,576,182,13,602,111,21,424,112,353,16,29,13,39,27,18,1,7,2,0,6,297,28,6,191,6,27,2,6,17,4,2,1,0,0,3,4,57,7,40,6,2,2,0,12,12,516171,64203,451968,429818,317278,86887,1252,21654,180,2567,22150,20741,5400,6243,3607,184,3779,479,244,54,516,13,10,22,69,112,9,1290,419,166,12,127,97,18,34,102,217,8,18,13,19,18,11,0,7,2,0,2,89,25,6,23,6,19,0,1,4,0,0,1,0,0,3,1,30,7,18,3,2,0,0,0,0,418051,383929,283845,64981,1533,18234,181,15155,34122,32258,2630,5271,2286,144,19954,380,190,40,993,18,11,114,70,119,38,1622,340,95,12,355,47,8,300,86,270,11,19,6,30,19,14,1,7,1,0,1,196,20,4,136,0,17,1,5,2,4,0,0,0,0,3,4,34,4,20,6,2,2,0,12,12,418051,47567,370484,355748,270847,63886,1029,18043,161,1782,14736,13811,2359,5038,2191,134,2978,358,173,34,356,9,8,22,64,83,4,841,253,87,11,66,43,8,26,80,197,4,12,6,15,13,11,0,7,1,0,1,63,19,4,20,0,16,0,0,0,0,0,0,0,0,3,1,21,4,12,3,2,0,0,0,0,234529,207714,26815,27724,11913,8594,215,3055,49,15811,13391,0,2420
PLST,FL,610,U6,00,000,0029358,610U600US12009,12009,3,5,12,00294478,009,981577198,131052009,9,State Senate District 9,N,522106,216622,+28.7475089,-081.2423113,LU,12009,522106,447013,327995,56540,1799,26574,343,33762,75093,70963,6068,5539,4588,243,49338,516,661,94,2935,66,13,311,114,349,128,3477,742,329,23,1090,150,36,537,130,268,22,22,3,66,11,42,3,1,1,0,1,599,56,0,443,7,46,7,9,19,0,1,3,2,0,6,0,50,23,23,0,3,0,1,4,4,522106,115597,406509,383693,300093,53108,888,26093,261,3250,22816,21432,5062,5052,4256,209,4616,407,591,86,756,59,5,34,106,165,28,1301,461,259,18,147,119,32,26,122,36,8,18,0,3,11,36,3,0,1,0,1,71,34,0,12,6,9,0,6,0,0,1,0,0,0,3,0,12,12,0,0,0,0,0,0,0,412296,359257,268727,42633,1408,20705,252,25532,53039,50651,2917,4234,2425,162,37240,397,422,72,2057,48,13,242,97,227,98,1950,462,155,10,587,83,14,354,69,109,13,8,0,48,6,28,2,1,1,0,0,406,27,0,318,7,30,0,3,11,0,0,3,1,0,6,0,32,20,11,0,0,0,1,0,0,412296,84355,327941,313298,249126,40584,709,20400,207,2272,14643,13880,2489,3950,2279,145,3366,330,393,65,563,41,5,27,89,125,13,716,269,128,10,76,70,14,16,67,18,5,4,0,2,6,28,2,0,1,0,0,38,13,0,4,6,9,0,3,0,0,0,0,0,0,3,0,9,9,0,0,0,0,0,0,0,216622,203458,13164,5486,3382,770,171,2441,0,2104,580,0,1524
PLST,FL,610,U6,00,000,0029359,610U600US12010,12010,3,5,12,00294478,010,3870227238,1827888661,10,State Senate District 10,N,546439,257683,+28.6459961,-082.5335608,LU,12010,546439,495319,441659,22545,2063,11058,280,17714,51120,48666,4620,8321,2809,241,30265,263,241,45,1317,33,11,160,105,148,87,2149,502,145,13,543,132,21,423,107,125,25,0,7,58,13,10,6,1,5,0,13,274,48,2,169,6,18,0,6,4,1,12,0,1,0,7,0,27,9,14,0,2,2,0,4,4,546439,66695,479744,457902,422244,20906,1493,10798,215,2246,21842,20789,4067,7866,2637,226,4954,195,205,31,350,28,3,12,101,88,26,951,356,126,11,123,122,14,24,99,31,6,0,1,4,10,9,5,1,5,0,4,85,34,2,20,3,3,0,5,1,1,9,0,0,0,7,0,16,5,9,0,2,0,0,1,1,446886,411739,370898,16877,1643,8783,197,13341,35147,33775,1773,6466,1421,131,22292,199,178,22,877,27,9,146,86,74,74,1181,311,48,3,279,62,16,262,67,63,7,0,0,38,3,5,6,1,0,0,10,176,25,2,112,2,13,0,6,4,0,4,0,1,0,7,0,12,0,10,0,0,2,0,3,3,446886,47032,399854,385496,357958,15923,1226,8624,155,1610,14358,13784,1577,6219,1364,123,3757,158,157,16,227,26,2,8,83,41,26,515,219,46,3,66,57,9,14,65,13,4,0,0,1,3,5,5,1,0,0,4,51,16,2,14,2,2,0,5,1,0,2,0,0,0,7,0,8,0,8,0,0,0,0,0,0,257683,226627,31056,7371,6317,3118,118,3056,25,1054,15,0,1039
PLST,FL,610,U6,00,000,0029360,610U600US12011,12011,3,5,12,00294478,011,648226604,145262997,11,State Senate District 11,N,556064,215061,+28.6312152,-081.5254496,LU,12011,556064,476765,196922,198239,2491,21239,440,57434,79299,75520,5999,3612,2801,157,53506,1011,959,282,5445,71,17,540,133,800,187,3204,652,299,30,1043,95,4,458,106,207,29,21,4,95,31,109,7,3,9,0,2,525,68,6,344,17,55,1,3,13,0,12,3,2,0,0,1,50,10,38,0,0,0,2,0,0,556064,137573,418491,392340,170127,192631,1009,20862,338,7373,26151,24800,5267,3145,2616,135,8776,888,908,276,1868,68,3,72,118,586,74,1218,408,232,22,169,70,4,16,90,44,6,19,4,25,26,75,4,1,2,0,1,126,50,5,20,17,24,0,2,1,0,2,2,2,0,0,1,7,2,3,0,0,0,2,0,0,423699,366301,160602,143621,1948,17470,348,42312,57398,55060,3222,2859,1535,126,40409,772,681,217,3926,55,11,408,104,596,139,1951,433,124,7,629,54,1,319,56,96,16,20,4,78,23,73,7,2,7,0,2,354,38,6,244,8,37,0,2,7,0,8,1,2,0,0,1,33,10,21,0,0,0,2,0,0,423699,99797,323902,305673,141617,140257,814,17219,281,5485,18229,17412,2834,2568,1450,108,6677,697,659,211,1465,53,3,62,95,469,61,732,283,102,6,95,39,1,6,53,20,5,18,4,21,20,52,4,0,2,0,1,78,28,5,14,8,16,0,1,1,0,2,0,2,0,0,1,7,2,3,0,0,0,2,0,0,215061,199949,15112,7530,4253,2203,180,1809,61,3277,631,0,2646
