FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,OR,620,L6,00,000,0009063,620L600US41001,41001,4,9,41,01155107,001,11924314098,1192889880,1,State House District 1,N,66986,33388,+42.7404049,-123.9893059,LL,41001,66986,61245,57949,215,1242,533,69,1237,5741,5392,203,2531,430,102,1994,23,9,0,9,10,14,23,16,16,12,317,67,11,2,15,52,11,93,29,25,2,1,0,0,0,1,2,3,2,0,1,24,2,1,8,3,0,0,3,2,1,4,0,0,0,0,0,5,3,0,0,0,2,0,3,3,66986,3885,63101,58911,56720,196,1072,526,66,331,4190,4003,181,2349,395,96,892,21,9,0,9,9,7,4,14,14,3,174,62,10,1,9,34,8,11,26,10,1,0,0,0,0,0,0,1,0,0,1,9,2,0,1,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,56424,52266,49604,181,976,472,57,976,4158,3960,121,1913,260,52,1522,13,7,0,8,8,10,18,13,12,3,179,32,3,1,2,18,10,73,16,15,1,1,0,0,0,1,2,2,1,0,1,15,1,0,5,3,0,0,1,0,1,4,0,0,0,0,0,3,1,0,0,0,2,0,1,1,56424,2694,53730,50635,48813,167,861,466,54,274,3095,3003,112,1817,246,47,717,12,7,0,8,8,3,4,11,10,1,84,28,3,0,0,13,7,10,13,7,1,0,0,0,0,0,0,1,0,0,1,6,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,33388,29216,4172,670,210,62,17,122,9,460,49,15,396
PLST,OR,620,L6,00,000,0009064,620L600US41002,41002,4,9,41,01155107,002,2752616991,2435536,2,State House District 2,N,64796,28333,+42.8746966,-123.1934314,LL,41002,64796,59460,55778,263,1230,803,99,1287,5336,5041,303,2346,439,140,1683,17,10,1,10,10,7,29,35,8,3,266,62,12,0,13,42,18,56,48,9,3,1,0,1,0,0,0,0,1,0,0,23,3,0,0,2,0,0,11,4,0,2,0,1,0,0,0,5,2,0,0,1,2,0,1,1,64796,4076,60720,56622,54153,254,1066,775,90,284,4098,3899,270,2151,405,131,862,13,8,1,4,9,6,4,28,7,0,179,55,12,0,8,35,17,7,43,1,0,1,0,0,0,0,0,0,0,0,0,16,3,0,0,2,0,0,11,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,1,1,52040,48363,45486,212,942,680,84,959,3677,3500,139,1712,221,65,1285,11,3,0,6,7,6,19,22,1,3,160,33,7,0,12,23,6,40,27,7,3,1,0,0,0,0,0,0,1,0,0,14,3,0,0,2,0,0,6,2,0,0,0,1,0,0,0,2,1,0,0,1,0,0,1,1,52040,2690,49350,46484,44500,209,818,657,78,222,2866,2754,128,1609,212,64,695,8,3,0,0,6,5,4,19,1,0,100,30,7,0,8,18,5,4,26,1,0,1,0,0,0,0,0,0,0,0,0,11,3,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28333,26350,1983,1424,555,166,23,307,59,869,0,0,869
PLST,OR,620,L6,00,000,0009065,620L600US41003,41003,4,9,41,01155107,003,1676221543,3051704,3,State House District 3,N,69365,30454,+42.2285523,-123.4818409,LL,41003,69365,62903,58970,357,889,718,112,1857,6462,5988,420,2405,610,124,2287,14,15,7,12,8,1,31,38,13,3,423,71,14,0,37,45,15,104,80,28,1,3,0,8,2,6,0,6,0,0,3,49,4,7,24,0,0,0,7,7,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,69365,5787,63578,59071,56816,317,717,703,109,409,4507,4250,371,2151,577,117,951,14,8,7,2,6,1,2,35,7,1,231,56,11,0,15,32,15,14,70,7,0,0,0,4,0,1,0,6,0,0,0,25,4,7,8,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,56030,51558,48449,286,686,616,87,1434,4472,4167,207,1802,339,71,1649,6,10,3,5,2,0,27,33,10,3,267,50,9,0,26,27,10,65,40,23,1,0,0,8,2,1,0,2,0,0,3,37,4,7,19,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,56030,3916,52114,48963,47122,261,551,607,85,337,3151,2991,192,1662,317,67,701,6,8,3,0,0,0,0,30,4,1,140,35,6,0,10,19,10,10,37,6,0,0,0,4,0,1,0,2,0,0,0,19,4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,30454,28425,2029,1431,815,234,24,557,0,616,0,0,616
PLST,OR,620,L6,00,000,0009066,620L600US41004,41004,4,9,41,01155107,004,926726140,6119818,4,State House District 4,N,70362,28626,+42.4083228,-123.0838577,LL,41004,70362,63186,57550,405,909,694,173,3455,7176,6757,362,2142,590,156,3312,7,9,6,9,15,2,93,35,17,2,386,84,6,1,16,30,19,148,47,25,5,0,0,0,2,2,0,0,0,0,1,32,6,0,19,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,70362,8849,61513,57349,55146,363,645,678,168,349,4164,3961,328,1919,551,144,943,4,7,6,4,11,2,1,31,8,2,192,67,5,1,6,25,19,14,44,9,0,0,0,0,2,0,0,0,0,0,0,11,6,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55536,50798,46642,316,717,578,138,2407,4738,4527,134,1618,312,90,2241,7,7,2,6,8,0,59,29,12,2,193,45,2,1,10,11,5,82,20,10,5,0,0,0,1,0,0,0,0,0,1,17,3,0,10,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,55536,5742,49794,46926,45178,289,520,572,133,234,2868,2763,134,1490,298,81,703,4,7,2,4,4,0,1,26,7,2,101,40,2,1,5,9,5,13,20,5,0,0,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28626,27309,1317,430,84,0,1,83,0,346,0,0,346
PLST,OR,620,L6,00,000,0009067,620L600US41005,41005,4,9,41,01155107,005,2533877934,16987105,5,State House District 5,N,68317,32455,+42.1405487,-122.7801595,LL,41005,68317,61341,55694,531,705,1076,197,3138,6976,6489,494,1661,685,107,3337,19,7,1,39,16,3,30,47,38,5,455,103,23,0,18,55,12,147,72,16,5,0,0,0,1,0,0,2,0,0,1,26,6,0,10,0,0,0,5,1,4,0,0,0,0,0,0,6,4,0,0,1,1,0,0,0,68317,7917,60400,56400,53636,492,431,1054,176,611,4000,3723,458,1496,647,100,907,15,7,1,9,16,2,2,43,20,0,261,89,18,0,3,51,12,14,65,6,0,0,0,0,1,0,0,2,0,0,0,12,6,0,1,0,0,0,5,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,56664,51799,47377,412,555,916,164,2375,4865,4559,258,1280,428,70,2362,19,5,1,26,10,2,27,41,26,4,287,63,9,0,13,21,5,107,56,9,3,0,0,0,1,0,0,0,0,0,0,16,3,0,9,0,0,0,3,0,1,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,56664,5342,51322,48401,46094,390,352,901,150,514,2921,2752,243,1180,411,66,758,15,5,1,7,10,2,2,38,14,0,160,55,9,0,3,19,5,11,52,5,0,0,0,0,1,0,0,0,0,0,0,7,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,32455,29857,2598,1358,51,51,0,0,0,1307,1183,0,124
PLST,OR,620,L6,00,000,0009068,620L600US41006,41006,4,9,41,01155107,006,62241812,86258,6,State House District 6,N,70874,29405,+42.3415136,-122.8542884,LL,41006,70874,61830,53498,761,1004,1466,468,4633,9044,8497,574,1973,742,171,4827,22,13,8,35,14,5,61,28,22,2,487,80,12,1,49,66,4,141,87,38,8,0,0,0,0,1,0,0,0,0,0,56,6,0,28,1,0,3,2,10,2,3,0,1,0,0,0,4,2,0,0,1,1,0,0,0,70874,12356,58518,53844,50338,690,583,1417,436,380,4674,4385,509,1737,671,139,1219,21,10,8,13,9,5,2,28,12,2,261,72,10,0,16,62,4,7,77,9,4,0,0,0,0,0,0,0,0,0,0,28,5,0,14,1,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54840,48978,42916,553,743,1195,328,3243,5862,5546,286,1418,399,96,3204,18,7,0,20,11,2,46,21,16,2,277,46,1,0,22,39,0,104,46,13,6,0,0,0,0,0,0,0,0,0,0,37,6,0,18,0,0,2,2,4,1,3,0,1,0,0,0,2,2,0,0,0,0,0,0,0,54840,7867,46973,43821,41101,520,454,1161,307,278,3152,2989,265,1303,360,87,901,17,5,0,10,6,2,2,21,8,2,143,40,1,0,12,39,0,7,38,2,4,0,0,0,0,0,0,0,0,0,0,20,5,0,12,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29405,28010,1395,1459,775,234,26,515,0,684,0,0,684
PLST,OR,620,L6,00,000,0009069,620L600US41007,41007,4,9,41,01155107,007,14559644872,131011865,7,State House District 7,N,66786,29952,+43.5802259,-122.6915437,LL,41007,66786,60620,57137,265,1034,567,90,1527,6166,5830,253,2412,406,124,2487,27,9,8,4,5,0,37,37,16,5,306,62,10,4,19,47,22,76,40,11,8,4,0,0,1,0,0,0,0,0,2,24,5,1,10,0,4,0,2,0,0,1,1,0,0,0,0,3,0,0,1,0,2,0,3,3,66786,4391,62395,57809,55753,246,843,543,80,344,4586,4385,239,2275,364,109,1315,17,7,8,2,3,0,4,32,10,0,188,47,9,4,8,43,20,11,34,7,1,2,0,0,1,0,0,0,0,0,1,11,3,0,6,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,54138,49685,46985,226,809,486,67,1112,4453,4266,133,1885,261,63,1820,16,4,3,2,2,0,34,27,11,5,171,45,2,0,11,17,9,50,28,6,2,0,0,0,1,0,0,0,0,0,0,12,2,1,5,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,3,54138,2863,51275,47814,46116,216,674,463,61,284,3461,3347,128,1812,236,62,1047,13,4,3,0,2,0,4,26,10,0,108,37,2,0,7,17,7,9,25,3,0,0,0,0,1,0,0,0,0,0,0,6,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29952,27297,2655,381,145,0,22,113,10,236,0,0,236
PLST,OR,620,L6,00,000,0009070,620L600US41008,41008,4,9,41,01155107,008,1579883873,36862495,8,State House District 8,N,67508,30469,+43.9437515,-123.3635718,LL,41008,67508,60755,55578,834,602,2031,106,1604,6753,6176,564,1641,1140,152,2432,38,21,4,52,20,7,34,41,29,1,518,113,53,5,39,54,16,129,68,25,12,1,0,2,0,0,0,0,0,0,1,51,6,4,28,3,1,0,5,1,0,2,0,1,0,0,0,7,0,3,2,0,2,0,1,1,67508,4857,62651,57929,54084,784,451,1997,97,516,4722,4403,512,1419,1093,139,1089,30,21,3,21,18,5,3,39,10,1,291,97,40,5,8,44,9,8,64,11,5,0,0,0,0,0,0,0,0,0,0,22,4,3,5,3,0,0,5,0,0,2,0,0,0,0,0,5,0,3,2,0,0,0,1,1,56471,51756,47434,679,470,1780,78,1315,4715,4366,322,1238,729,87,1806,27,20,4,40,12,6,16,39,19,1,315,69,26,1,21,33,9,89,47,12,8,0,0,0,0,0,0,0,0,0,0,29,5,0,14,3,0,0,5,1,0,0,0,1,0,0,0,4,0,3,0,0,1,0,1,1,56471,3536,52935,49596,46354,638,350,1753,69,432,3339,3139,300,1086,700,85,843,21,20,3,17,12,4,2,38,7,1,180,64,18,1,8,26,7,4,43,4,5,0,0,0,0,0,0,0,0,0,0,16,3,0,5,3,0,0,5,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,1,30469,28796,1673,748,416,0,0,416,0,332,0,0,332
PLST,OR,620,L6,00,000,0009071,620L600US41009,41009,4,9,41,01155107,009,3829325369,857215393,9,State House District 9,N,66413,34442,+43.8904849,-123.9614722,LL,41009,66413,60685,56444,300,1326,872,149,1594,5728,5405,307,2395,493,156,1878,14,11,3,13,13,15,33,55,9,10,297,69,7,7,16,54,16,64,38,7,9,1,0,1,0,1,1,4,1,0,1,14,7,0,3,1,1,0,0,0,0,1,1,0,0,0,0,8,5,1,0,0,2,0,4,4,66413,4390,62023,57804,55000,274,1157,850,139,384,4219,4023,279,2199,466,136,828,11,11,3,6,12,12,6,52,2,0,182,62,6,4,4,43,15,12,32,1,1,0,0,0,0,0,0,0,1,0,1,11,7,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,1,55423,51358,48097,238,990,754,114,1165,4065,3869,149,1796,281,78,1423,5,10,0,10,13,13,26,47,9,9,178,51,1,6,4,30,12,40,22,5,3,1,0,0,0,1,1,0,0,0,1,7,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,7,4,1,0,0,2,0,4,4,55423,2951,52472,49383,47158,220,880,736,106,283,3089,2969,141,1696,274,69,696,5,10,0,5,12,10,5,44,2,0,111,45,0,3,3,24,11,4,19,1,0,0,0,0,0,0,0,0,0,0,1,6,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,1,34442,29314,5128,1278,511,280,16,215,0,767,122,19,626
PLST,OR,620,L6,00,000,0009072,620L600US41010,41010,4,9,41,01155107,010,4783532866,895970671,10,State House District 10,N,69589,41583,+44.8920538,-123.8608883,LL,41010,69589,62982,55594,554,3031,918,112,2773,6607,6213,277,2491,492,113,2615,29,15,15,11,21,18,44,37,20,15,358,65,22,13,8,59,9,97,62,7,4,1,0,2,5,3,0,0,1,0,0,26,8,2,7,1,2,0,4,1,0,1,0,0,0,0,0,9,2,6,0,1,0,0,1,1,69589,6795,62794,58274,53688,537,2684,898,107,360,4520,4274,270,2318,462,108,975,25,14,13,5,12,15,12,33,7,5,224,62,22,12,7,47,2,9,54,1,0,1,0,0,4,3,0,0,0,0,0,15,2,0,7,1,1,0,4,0,0,0,0,0,0,0,0,6,2,3,0,1,0,0,1,1,57974,53359,47867,481,2184,825,94,1908,4615,4401,150,1835,287,67,1892,21,8,6,8,19,17,33,35,18,5,201,40,7,12,1,32,2,66,27,4,3,0,0,2,5,0,0,0,0,0,0,9,4,0,2,1,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,1,1,57974,4528,53446,50171,46554,473,1952,809,90,293,3275,3137,147,1751,280,64,784,20,7,4,5,10,14,7,32,7,5,129,38,7,11,0,32,2,9,25,1,0,0,0,0,4,0,0,0,0,0,0,5,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,1,1,41583,29410,12173,2680,2144,1914,57,173,0,536,212,11,313
PLST,OR,620,L6,00,000,0009073,620L600US41011,41011,4,9,41,01155107,011,2096780166,11643625,11,State House District 11,N,69883,27392,+44.2513199,-122.9239750,LL,41011,69883,63571,58068,585,733,2140,131,1914,6312,5844,469,1699,1159,129,2206,28,19,6,31,13,5,23,37,19,1,439,122,21,5,29,43,11,80,85,31,4,0,2,2,0,0,0,1,0,0,3,29,6,0,11,0,2,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69883,5109,64774,60255,56469,544,584,2099,124,435,4519,4237,418,1570,1118,119,879,26,19,5,15,13,5,3,36,11,0,270,101,19,5,5,38,7,6,78,8,1,0,2,0,0,0,0,0,0,0,0,12,5,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58061,53537,48874,489,571,1945,117,1541,4524,4204,291,1270,780,98,1614,26,16,2,24,13,2,21,27,19,1,308,92,9,3,19,20,7,66,64,23,2,0,0,0,0,0,0,1,0,0,2,12,1,0,7,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58061,3709,54352,51046,47720,470,478,1913,111,354,3306,3110,279,1208,763,96,656,24,16,1,12,13,2,3,26,11,0,194,83,8,3,5,15,5,6,61,8,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27392,25932,1460,5702,124,0,30,94,0,5578,5240,0,338
PLST,OR,620,L6,00,000,0009074,620L600US41012,41012,4,9,41,01155107,012,43088663,89422,12,State House District 12,N,65702,27071,+44.0578970,-122.9830593,LL,41012,65702,58502,51422,787,927,1004,272,4090,7200,6709,654,2253,699,124,2745,26,27,8,30,10,6,45,59,14,9,441,109,30,2,35,30,21,106,79,24,1,2,1,1,0,0,0,0,0,0,0,43,13,5,8,4,0,0,10,1,0,1,1,0,0,0,0,6,4,0,1,0,1,0,1,1,65702,9334,56368,51825,48868,723,675,959,251,349,4543,4283,615,2028,647,108,750,14,24,7,13,6,4,0,59,4,4,228,83,19,2,11,18,12,11,65,6,0,0,1,0,0,0,0,0,0,0,0,28,9,3,2,4,0,0,10,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,51448,46699,41526,572,729,845,217,2810,4749,4506,277,1679,390,56,1928,21,13,7,27,4,5,32,51,9,7,217,52,10,0,9,17,14,64,33,16,1,0,1,0,0,0,0,0,0,0,0,22,8,1,3,4,0,0,3,1,0,1,1,0,0,0,0,3,1,0,1,0,1,0,1,1,51448,5999,45449,42380,40031,533,540,819,200,257,3069,2946,272,1535,367,49,621,10,13,7,11,3,3,0,51,2,2,107,42,4,0,3,14,9,4,27,3,0,0,1,0,0,0,0,0,0,0,0,15,7,0,1,4,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27071,26176,895,761,274,20,0,254,0,487,0,0,487
